#id sdkAdded compatAdded codepoints
F0001 19 1 1F1EA
F0002 19 1 1F1EB
F0003 19 1 1F1EC
F0004 19 1 1F1ED
F0005 19 1 1F1EE
F0006 19 1 1F1EF
F0007 19 1 1F616
F0008 19 1 1F34E
F0009 19 1 1F34D
F000A 19 1 1F61A
F000B 19 1 1F34F
F000C 19 1 1F34A
F000D 19 1 1F61F
F000E 19 1 1F34C
F000F 19 1 1F34B
F0010 19 1 1F68D
F0011 19 1 1F48B
F0012 19 1 1F68F
F0013 19 1 1F68A
F0014 19 1 1F68B
F0015 19 1 1F48C
F0016 19 1 1F3CA
F0017 19 1 1F345
F0018 19 1 1F344
F0019 19 1 1F347
F001A 19 1 1F346
F001B 19 1 1F341
F001C 19 1 1F340
F001D 19 1 1F343
F001E 19 1 1F342
F0020 19 1 1F619
F0021 19 1 1F618
F0022 19 1 1F349
F0023 19 1 1F348
F0025 19 1 1F1E8
F0026 19 1 1F1E9
F0028 19 1 1F1E6
F0029 19 1 1F1E7
F002A 19 1 1F3C4
F002B 19 1 1F525
F002C 19 1 26A0
F002D 19 1 1F3C7
F002E 19 1 1F3C0
F002F 19 1 1F3C1
F0030 19 1 1F3C2
F0031 19 1 1F3C3
F0032 19 1 1F3C8
F0033 19 1 1F3C9
F0034 19 1 1F4F7
F0035 19 1 1F688
F0036 19 1 1F689
F0037 19 1 1F684
F0038 19 1 1F521
F0039 19 1 1F686
F003A 19 1 1F687
F003B 19 1 1F680
F003C 19 1 1F681
F003D 19 1 1F682
F003E 19 1 1F520
F003F 19 1 1F464
F0040 19 1 1F465
F0041 19 1 1F466
F0042 19 1 1F467
F0043 19 1 1F460
F0044 19 1 1F461
F0045 19 1 1F462
F0046 19 1 1F463
F0047 19 1 1F522
F0048 19 1 1F468
F0049 19 1 1F469
F004A 19 1 1F509
F004B 19 1 1F508
F004C 19 1 1F507
F004D 19 1 1F506
F004E 19 1 1F505
F004F 19 1 1F504
F0050 19 1 1F503
F0051 19 1 1F502
F0052 19 1 1F501
F0053 19 1 1F500
F0054 19 1 1F529
F0055 19 1 1F4F9
F0056 19 1 1F4AE
F0057 19 1 1F4AD
F0058 19 1 26F5
F0059 19 1 1F4AF
F005A 19 1 26F3
F005B 19 1 26F2
F005C 19 1 1F4AC
F005D 19 1 1F4AB
F005E 19 1 2705
F005F 19 1 1F601
F0060 19 1 1F623
F0061 19 1 1F50F
F0062 19 1 1F50E
F0063 19 1 1F50D
F0064 19 1 1F50C
F0065 19 1 1F50B
F0066 19 1 1F50A
F0067 19 1 1F46D
F0068 19 1 1F46E
F0069 19 1 1F46F
F006A 19 1 1F6B4
F006B 19 1 1F46A
F006C 19 1 1F46B
F006D 19 1 1F46C
F006E 19 1 1F4A5
F006F 19 1 1F4A4
F0070 19 1 1F4A7
F0071 19 1 26FD
F0072 19 1 1F4A1
F0073 19 1 1F4A0
F0074 19 1 26FA
F0075 19 1 1F4A2
F0076 19 1 1F4A9
F0077 19 1 270A
F0078 19 1 270B
F0079 19 1 270C
F007A 19 1 1F604
F007B 19 1 1F61C
F007C 19 1 1F6BE
F007D 19 1 1F61B
F007E 19 1 1F53D
F007F 19 1 1F605
F0080 19 1 1F30A
F0081 19 1 1F30C
F0082 19 1 1F30B
F0083 19 1 1F30E
F0084 19 1 1F30D
F0085 19 1 1F30F
F0086 19 1 1F53A
F0087 19 1 1F606
F0088 19 1 1F309
F0089 19 1 1F308
F008A 19 1 1F301
F008B 19 1 1F300
F008C 19 1 1F303
F008D 19 1 1F302
F008E 19 1 1F305
F008F 19 1 1F304
F0090 19 1 1F307
F0091 19 1 1F306
F0092 19 1 1F607
F0093 19 1 1F392
F0094 19 1 1F393
F0095 19 1 1F390
F0096 19 1 1F391
F0097 19 1 1F628
F0098 19 1 1F600
F0099 19 1 1F629
F009A 19 1 1F625
F009B 19 1 1F004
F009C 19 1 1F235
F009D 19 1 1F234
F009E 19 1 1F237
